# Simulation 1 (Up to date)
# 641 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,15,0,0,0,0,0,0,0,0,0,0,59.75,17.15,90,0,0,0,90,0,1297.6,201.6,0.487,0.007,9.819,NaN,102.769,NaN,0,0,0,0.594,0.367,0.107,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.988,90,14.902,1011.491,0.001,340.33,0.018,7.066e5,10.16,81.073,0.01,0.001,0
0.01,2.209e-4,15,0.083,0.083,23.077,23.1,-3.508e-5,0,3.508e-5,270,0.009,1.052,59.75,17.15,89.209,0,0,0,90,0,1297.329,201.329,0.487,0.007,9.819,NaN,102.757,NaN,42.676,3.35,6.928e-7,0.594,0.367,0.107,0.12,3.898e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.995,90,14.902,1011.491,0.001,340.33,0.018,7.065e5,10.16,81.073,0.01,0.002,6.205e-6
0.02,0.003,15.003,0.478,0.478,55.986,55.996,-1.754e-4,0,1.754e-4,270,0.019,1.056,59.75,17.15,85.433,0,0,0,90,0,1297.058,201.058,0.487,0.007,9.819,NaN,102.746,NaN,85.353,6.702,1.288e-4,0.594,0.367,0.107,0.12,7.211e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.002,90,14.902,1011.49,0.001,340.33,0.018,7.083e5,10.16,81.073,0.004,0.002,3.523e-5
0.024,0.005,15.005,0.728,0.729,69.153,69.161,-2.61e-4,0,2.61e-4,270,0.024,1.063,59.75,17.15,83.059,0,0,0,90,0,1296.95,200.95,0.487,0.007,9.819,NaN,102.741,NaN,102.423,8.043,4.438e-4,0.594,0.367,0.107,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.005,90,14.902,1011.49,0.001,340.33,0.018,7.111e5,10.16,81.073,0.006,0.003,5.361e-5
0.03,0.011,15.011,1.163,1.164,75.915,75.923,-4.215e-4,0,4.215e-4,270,0.03,1.084,59.75,17.15,78.99,0,0,0,90,0,1296.509,200.509,0.486,0.007,9.819,NaN,102.723,NaN,111.157,8.732,0.002,0.593,0.366,0.107,0.12,0.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.009,90,14.902,1011.489,0.001,340.33,0.018,7.189e5,10.16,81.073,0.009,0.003,8.559e-5
# Event LIFTOFF occurred at t=0.039 seconds
0.039,0.024,15.024,1.892,1.893,86.064,86.064,-7.357e-4,0,7.357e-4,270,0.04,0,59.75,17.15,72.429,0,0,0,90,0,1295.848,199.848,0.486,0.007,9.819,NaN,102.695,NaN,124.257,9.766,0.007,0.591,0.364,0.107,0.12,0.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.016,90,14.902,1011.488,0.001,340.33,0.018,7.397e5,10.16,81.073,0.01,0.004,1.392e-4
0.049,0.048,15.048,2.809,2.81,97.348,97.348,-0.001,0,0.001,270,0.04,0,59.75,17.15,64.848,0,0,0,90,0,1295.113,199.113,0.486,0.007,9.819,NaN,102.664,NaN,138.813,10.916,0.02,0.587,0.36,0.107,0.12,0.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.023,90,14.902,1011.485,0.001,340.33,0.019,7.8e5,10.16,81.073,0.01,0.004,2.065e-4
0.059,0.081,15.081,3.839,3.839,108.635,108.635,-0.002,0,0.002,270,0.04,0,59.75,17.15,57.216,0,0,0,90,0,1294.378,198.378,0.486,0.007,9.819,NaN,102.633,NaN,153.369,12.067,0.045,0.582,0.355,0.107,0.12,0.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.001,90,14.902,1011.481,0.001,340.329,0.021,8.367e5,10.16,81.073,0.01,0.005,2.821e-4
0.069,0.125,15.125,4.982,4.982,119.922,119.922,-0.002,0,0.002,270,0.04,0,59.75,17.15,49.991,0,0,0,90,0,1293.644,197.644,0.486,0.007,9.819,NaN,102.601,NaN,167.925,13.22,0.086,0.575,0.349,0.107,0.12,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.976,90,14.902,1011.476,0.001,340.329,0.023,9.145e5,10.16,81.073,0.005,0.005,3.661e-4
